transaction_id,customer_id,transaction_datetime,transaction_amount,merchant_id,merchant_category,payment_method,customer_age,customer_gender,customer_location,device_type,is_international,account_balance_before,account_balance_after,failed_transaction_count_24h,average_transaction_amount_7d,ip_risk_score,browser_type,transaction_type,account_type,loan_active_flag,credit_score,monthly_income,previous_fraud_count,transaction_hour,is_fraud
TXN_015651,CUST_7683,2025-01-06 02:01:29,79.12,M802,Fuel,NetBanking,26.0,Other,Chennai,Mobile,0.0,60034.28,59955.16,1,3159.35,0.504189027931781,Chrome,Online,Credit,0,504.0,50380.36,0,2,0
TXN_018896,CUST_4228,2025-09-29 22:48:32,3301.18,M970,Grocery,UPI,42.0,Female,Bangalore,Desktop,0.07911960308244484,32050.48,28749.3,1,2065.91,0.884,Firefox,Online,Current,0,667.0,48503.34,1,22,0
TXN_019356,CUST_8801,2024-07-21 12:30:29,5574.78,M696,Electronics,Wallet,27.0,Female,Kolkata,Desktop,0.0,41044.02,35469.24,0,2354.16,0.34,Chrome,POS,Savings,1,631.0,66121.81,0,12,0
TXN_017514,CUST_2641,2023-04-07 09:43:27,2363.77,M149,Electronics,UPI,56.0,Male,Hyderabad,Mobile,0.0,53889.1,47099.92270107663,2,3132.56,0.548,Edge,ATM,Current,1,673.0,57074.34,0,9,0
TXN_018903,CUST_8530,2023-05-23 08:53:12,7648.01,M356,Travel,Credit Card,46.0,Male,Mumbai,Mobile,0.0,53233.03,45585.02,0,1792.83,0.794,Firefox,POS,Current,1,644.0,83979.78,1,8,0
TXN_012674,CUST_9812,2025-05-24 06:55:23,159.13,M332,Food,NetBanking,36.0,Male,Chennai,Tablet,0.0,32099.57,31940.44,0,2331.34,0.722,Opera,ATM,Credit,1,560.0,84440.43,0,6,0
TXN_006876,CUST_9268,2023-08-08 21:35:28,1711.08,M917,Fashion,Wallet,56.0,Male,Bangalore,Tablet,0.0,74041.37,72330.29,0,971.22,0.633,Firefox,ATM,Credit,0,706.0,23580.67,0,21,0
TXN_002795,CUST_4705,2023-02-03 00:55:00,1723.41,M279,Electronics,Debit Card,63.0,Female,Chennai,Desktop,1.0,64058.86,62335.45,1,2021.82,0.539,Firefox,POS,Current,0,673.0,67849.2,0,0,1
TXN_000018,CUST_3136,2024-10-07 10:30:38,5450.72,M888,Food,Wallet,48.0,Female,Hyderabad,Tablet,0.0,55098.1,49647.38,1,1397.21,0.909,Chrome,ATM,Savings,0,667.0,54017.85,1,10,0
TXN_018568,CUST_1884,2025-06-09 10:42:56,4250.72,M813,Fuel,NetBanking,40.0,Other,Bangalore,Desktop,0.0,56491.73,52241.01,0,2626.86,0.371,Edge,ATM,Savings,0,535.0,65525.29,0,10,0
TXN_013417,CUST_1635,2025-04-04 11:26:29,242.54,M715,Fashion,UPI,54.0,Male,Bangalore,Mobile,0.0,41250.23,41007.69,2,1807.28,0.504189027931781,Edge,POS,Savings,0,705.0,87092.11,0,11,0
TXN_016856,CUST_4057,2025-07-13 19:49:44,15304.3,M231,Electronics,NetBanking,43.59759315950596,Male,Kolkata,Tablet,0.0,75994.46,60690.16,0,2788.18,0.668,Opera,Online,Credit,1,647.0,70491.08,0,19,0
TXN_000752,CUST_5771,2025-03-18 15:15:01,8431.85,M735,Fuel,NetBanking,18.0,Other,Mumbai,Desktop,0.0,17109.69,8677.84,2,1688.58,0.487,Firefox,POS,Current,0,615.0,48027.67,0,15,0
TXN_002411,CUST_7383,2023-11-16 02:12:07,3496.89,M173,Travel,Credit Card,68.0,Other,Mumbai,Mobile,1.0,63330.36,59833.47,5,2396.01,0.69,Edge,Online,Current,1,641.0,39327.4,0,2,0
TXN_010277,CUST_6219,2023-09-09 23:10:38,2932.44,M933,Fashion,NetBanking,21.0,Other,Bangalore,Desktop,0.0,41729.3,47099.92270107663,1,1802.7,0.709,Opera,ATM,Savings,0,678.0,70281.46,0,23,0
TXN_015500,CUST_6787,2025-07-20 16:30:15,5818.91,M971,Fuel,Wallet,40.0,Female,Hyderabad,Mobile,0.0,48605.16,42786.25,3,2121.48,0.228,Safari,ATM,Credit,0,577.0,41580.15,0,16,0
TXN_009760,CUST_3569,2024-11-21 15:27:15,2570.67,M536,Fashion,UPI,62.0,Other,Mumbai,Tablet,0.0,41674.77,39104.1,0,2573.88,0.768,Edge,ATM,Current,0,722.0,53218.35,0,15,0
TXN_011613,CUST_6446,2024-12-09 08:43:19,693.95,M873,Fuel,Credit Card,33.0,Male,Chennai,Mobile,0.0,27574.27,26880.32,1,2713.65,0.504189027931781,Safari,POS,Current,0,814.0,65994.44,1,8,0
TXN_000470,CUST_9486,2024-05-17 16:57:13,9908.61,M717,Grocery,Credit Card,24.0,Female,Hyderabad,Desktop,0.0,55552.28,45643.67,1,1903.61,0.704,Safari,ATM,Current,0,710.0,70230.78,0,16,0
TXN_000018,CUST_2644,2023-11-21 15:33:18,6695.59,M747,Electronics,UPI,24.0,Male,Mumbai,Tablet,0.0,83992.45,77296.86,0,2631.26,0.264,Firefox,ATM,Current,0,656.0,42955.11,0,15,0
TXN_009686,CUST_7911,2024-02-13 07:02:11,1796.69,M692,Electronics,Wallet,26.0,Female,Mumbai,Tablet,0.0,44593.02,42796.33,1,1500.6,0.02,Opera,POS,Savings,0,766.0,59421.45,0,7,0
TXN_019648,CUST_2386,2025-03-31 18:45:38,5378.9,M299,Travel,Debit Card,29.0,Other,Mumbai,Desktop,0.0,21927.41,16548.51,4,2771.74,0.77,Safari,POS,Savings,0,722.0,78501.3,1,18,0
TXN_000387,CUST_2889,2025-01-05 21:48:57,994.0,M239,Travel,Credit Card,36.0,Other,Mumbai,Mobile,0.0,40131.12,39137.12,0,3060.16,0.73,Chrome,ATM,Credit,0,728.0,52283.03,0,21,0
TXN_015641,CUST_3758,2023-08-28 06:17:26,1851.39,M957,Electronics,UPI,64.0,Male,Chennai,Desktop,0.0,27041.19,25189.8,0,1910.34,0.962,Firefox,Online,Credit,0,602.0,40130.47,0,6,0
TXN_000018,CUST_7167,2025-01-08 04:07:27,5997.76,M951,Fashion,Credit Card,23.0,Female,Mumbai,Mobile,0.0,34886.46,47099.92270107663,1,3110.08,0.875,Edge,ATM,Credit,0,774.0,96015.01,0,4,0
TXN_000985,CUST_5837,2023-02-28 05:06:36,3907.94,M892,Grocery,Wallet,54.0,Other,Bangalore,Mobile,0.0,37068.87,33160.93,2,1917.47,0.986,Opera,POS,Savings,1,598.0,34724.27,0,5,0
TXN_014423,CUST_8385,2023-09-24 22:18:18,3343.82,M895,Fashion,UPI,35.0,Other,Mumbai,Desktop,0.0,40325.85,36982.03,1,2565.62,0.513,Firefox,ATM,Credit,0,693.0,75609.44,0,22,0
TXN_003023,CUST_8511,2024-07-18 10:19:53,3469.78,M772,Grocery,NetBanking,31.0,Female,Mumbai,Desktop,1.0,2007.71,-1462.07,0,3085.57,0.211,Opera,Online,Credit,0,768.0,63188.38,0,10,0
TXN_011586,CUST_8037,2024-03-12 08:40:01,3269.85,M123,Electronics,Wallet,47.0,Female,Kolkata,Tablet,0.0,36896.07,33626.22,1,1818.15,0.504189027931781,Safari,ATM,Current,0,544.0,42349.55,0,8,0
TXN_012822,CUST_2993,2024-12-12 17:00:10,2402.41,M512,Food,Credit Card,48.0,Female,Delhi,Mobile,0.0,48675.69,46273.28,1,2496.95,0.227,Firefox,Online,Current,0,629.0,77839.97,0,17,0
TXN_004509,CUST_5408,2023-10-29 08:19:02,2637.19,M327,Travel,NetBanking,51.0,Male,Bangalore,Mobile,0.0,23746.54,21109.35,1,2219.33,0.867,Edge,ATM,Savings,0,719.0,46961.52,0,8,0
TXN_009259,CUST_4236,2025-03-03 22:58:14,4473.08,M892,Travel,UPI,49.0,Male,Delhi,Tablet,0.0,62677.67,58204.59,1,1778.82,0.893,Opera,Online,Savings,1,615.0,112622.29,0,22,0
TXN_000816,CUST_1601,2025-06-14 11:09:24,2194.65,M169,Grocery,NetBanking,66.0,Male,Delhi,Mobile,0.0,37950.21,35755.56,0,1107.36,0.715,Opera,POS,Current,1,653.0,100219.04,0,11,0
TXN_012324,CUST_2610,2025-08-01 08:33:03,2655.59,M398,Fuel,Wallet,58.0,Other,Mumbai,Mobile,0.0,42730.86,40075.27,0,1583.97,0.906,Opera,Online,Credit,0,601.0,54158.83,0,8,0
TXN_002529,CUST_1725,2024-01-13 01:30:47,26.71,M656,Fashion,Credit Card,29.0,Female,Delhi,Desktop,0.0,5039.75,47099.92270107663,3,3124.29,0.504189027931781,Opera,ATM,Current,0,687.0,18816.75,0,1,0
TXN_000018,CUST_9004,2025-09-14 19:37:15,285.9,M756,Electronics,Wallet,43.0,Male,Delhi,Mobile,0.0,67297.3,67011.4,1,3720.05,0.041,Chrome,ATM,Credit,0,686.0,49045.32,0,19,0
TXN_013558,CUST_3603,2023-07-20 20:40:07,4268.71,M490,Fashion,UPI,54.0,Female,Hyderabad,Mobile,0.0,21495.23,17226.52,2,1005.37,0.504189027931781,Safari,POS,Current,0,637.0,33671.26,0,20,0
TXN_004367,CUST_9515,2025-02-21 23:04:04,250.49,M267,Fuel,Debit Card,69.0,Male,Chennai,Tablet,0.0,43496.83,43246.34,2,3139.39,0.144,Chrome,ATM,Savings,0,569.0,25314.78,0,23,0
TXN_000248,CUST_9883,2024-08-20 06:09:46,10202.53,M297,Fashion,UPI,28.0,Female,Hyderabad,Tablet,0.0,45672.21,35469.68,1,2925.98,0.011,Chrome,Online,Savings,0,710.0,71379.55,0,6,0
TXN_013108,CUST_1671,2023-01-13 21:58:22,7192.04,M969,Travel,Wallet,68.0,Male,Mumbai,Desktop,0.0,57610.49,50418.45,1,1540.7,0.337,Edge,POS,Credit,1,808.0,92332.79,0,21,0
TXN_007608,CUST_6553,2023-05-11 05:38:33,2940.85,M354,Travel,Wallet,44.0,Other,Bangalore,Tablet,0.0,46622.6,43681.75,0,3292.52,0.152,Chrome,ATM,Savings,0,624.0,67689.18,0,5,0
TXN_016328,CUST_1759,2025-03-07 03:20:18,19.53,M236,Food,NetBanking,68.0,Female,Mumbai,Desktop,0.0,56913.85,56894.32,0,3680.83,0.434,Chrome,POS,Savings,1,563.0,30489.7,1,3,0
TXN_017225,CUST_2088,2024-07-18 01:34:39,10689.45,M490,Grocery,Credit Card,49.0,Other,Mumbai,Mobile,0.0,38588.26,27898.81,3,2954.2,0.929,Chrome,POS,Credit,1,658.0,43029.17,0,1,0
TXN_011909,CUST_7782,2023-08-20 18:01:08,1685.74,M889,Electronics,Wallet,49.0,Male,Kolkata,Desktop,0.0,3522.82,1837.08,0,3857.14,0.354,Safari,ATM,Credit,0,671.0,37965.89,0,18,0
TXN_004689,CUST_8260,2025-05-24 18:52:29,2357.48,M240,Food,NetBanking,35.0,Female,Kolkata,Tablet,0.0,48787.1,46429.62,0,3165.7,0.035,Edge,POS,Current,1,603.0,71068.67,0,18,0
TXN_002177,CUST_4881,2024-11-22 18:42:58,982.5,M230,Fashion,UPI,66.0,Other,Hyderabad,Tablet,1.0,50145.1,49162.6,1,2691.65,0.198,Firefox,ATM,Savings,1,704.0,53852.69,0,18,0
TXN_013832,CUST_4146,2023-07-02 19:07:36,441.61,M724,Fuel,NetBanking,43.59759315950596,Male,Kolkata,Desktop,0.0,30285.66,29844.05,1,2583.29,0.504189027931781,Safari,Online,Current,0,666.0,10000.0,0,19,0
TXN_009272,CUST_7477,2023-07-18 19:19:34,2213.71,M114,Grocery,UPI,33.0,Female,Mumbai,Mobile,0.07911960308244484,84968.71,82755.0,3,3500.78,0.074,Edge,POS,Current,1,551.0,31662.34,0,19,0
TXN_002684,CUST_4580,2025-04-21 04:03:23,1429.73,M890,Fuel,Wallet,19.0,Female,Kolkata,Desktop,0.0,57128.6,55698.87,0,1922.84,0.797,Chrome,POS,Credit,0,581.0,87753.07,0,4,0
TXN_008827,CUST_9267,2025-06-27 15:11:09,3152.01,M588,Fuel,Wallet,54.0,Male,Chennai,Mobile,0.07911960308244484,49491.13,46339.12,0,656.78,0.063,Opera,Online,Current,0,596.0,67759.52,0,15,0
TXN_007556,CUST_6139,2023-05-26 15:53:11,1791.32,M883,Fashion,Credit Card,55.0,Female,Kolkata,Tablet,0.0,16630.17,47099.92270107663,0,3509.45,0.136,Firefox,POS,Savings,0,509.0,57690.95,0,15,0
TXN_005867,CUST_3378,2023-05-15 06:02:47,3952.76,M641,Food,NetBanking,54.0,Female,Chennai,Mobile,0.0,45395.32,41442.56,2,3358.05,0.696,Safari,ATM,Current,0,510.0,45819.43,0,6,0
TXN_000018,CUST_3925,2023-06-14 15:27:21,4166.27,M982,Fashion,Wallet,64.0,Other,Kolkata,Tablet,0.07911960308244484,50406.33,46240.06,2,3835.04,0.872,Chrome,Online,Credit,0,675.0,54955.92,1,15,0
TXN_010952,CUST_2194,2024-09-13 00:10:30,4429.27,M378,Electronics,UPI,32.0,Female,Chennai,Desktop,0.0,60572.16,56142.89,0,3939.87,0.692,Opera,ATM,Savings,1,670.0,20636.72,0,0,0
TXN_010760,CUST_5264,2025-01-20 04:54:23,3712.54,M676,Fashion,Wallet,67.0,Male,Hyderabad,Tablet,0.0,52385.35,47099.92270107663,3,3497.82,0.533,Edge,Online,Current,0,621.0,72090.34,1,4,0
TXN_011227,CUST_1842,2025-01-17 06:08:56,3638.31,M433,Grocery,Debit Card,25.0,Female,Kolkata,Tablet,0.0,50012.21,47099.92270107663,1,3102.85,0.43,Safari,Online,Credit,1,668.0,41208.1,0,6,0
TXN_010956,CUST_7819,2023-07-25 03:53:22,88075.5,M101,Electronics,Credit Card,47.0,Female,Mumbai,Mobile,0.0,57989.36,52117.66,0,3030.52,0.691,Edge,POS,Savings,0,739.759393157519,148165.599050777,0,3,0
TXN_013849,CUST_8505,2023-11-16 15:49:14,2272.38,M375,Food,UPI,60.0,Female,Bangalore,Mobile,0.0,34897.78,32625.4,2,1601.93,0.304,Chrome,POS,Savings,0,640.0,31217.96,0,15,0
